Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Bhubaneswar, OD, India",05/14/2020,37.1,26.9,31,,42,0,0,0,24.1,159.71,,5.4,16.9,70.43,Clear
"Bhubaneswar, OD, India",05/15/2020,37,26.8,31.2,,41.7,0,0,0,18.4,179,,5.3,16.2,70.63,Clear
"Bhubaneswar, OD, India",05/16/2020,38.1,28,31.8,,46.2,0,0,0,18.4,193.29,,5.5,37.9,69.86,Partially cloudy
"Bhubaneswar, OD, India",05/17/2020,37.9,28,31.3,,45.4,0,0,0,17,112.48,,5.6,45.7,69.76,Partially cloudy
"Bhubaneswar, OD, India",05/18/2020,37.5,26,31.4,,43.4,0,0,0,16.6,112.78,,5.4,49.2,70.81,Partially cloudy
"Bhubaneswar, OD, India",05/19/2020,32,24,28.5,,40.4,28.5,0,0,25.9,108.33,,4.2,83.6,84.37,"Rain, Overcast"
"Bhubaneswar, OD, India",05/20/2020,26,21,23.3,,,90.06,0,0,55.4,307.27,64.8,2.8,87.6,89.97,"Rain, Overcast"
"Bhubaneswar, OD, India",05/21/2020,35,22.6,29.6,,42.7,0,0,0,11.2,154.57,,4.3,52.7,73.28,Partially cloudy
"Bhubaneswar, OD, India",05/22/2020,35,27.8,30.4,,49.1,0,0,0,22.3,151.84,,3.5,58.1,85.05,Partially cloudy
"Bhubaneswar, OD, India",05/23/2020,34.3,28.7,30.9,,47.1,0,0,0,28.8,165.95,,4.4,69,80.21,Partially cloudy
"Bhubaneswar, OD, India",05/24/2020,34,28.8,30.6,,47.5,0,0,0,25.9,181.43,,5,86.5,81.73,Overcast
"Bhubaneswar, OD, India",05/25/2020,33.6,28.9,30.3,,46.1,0,0,0,37.1,176.71,,5.1,85.1,81.62,Overcast
"Bhubaneswar, OD, India",05/26/2020,33.7,28.9,30.3,,45.9,0,0,0,33.5,181.67,,4.9,59.6,80.64,Partially cloudy
"Bhubaneswar, OD, India",05/27/2020,35.2,28.8,31,,46.3,0,0,0,38.9,178.88,,5.1,29.3,74.61,Partially cloudy
"Bhubaneswar, OD, India",05/28/2020,32,27,29.2,,42.8,0.2,0,0,27.8,151.08,,4.7,83,83.79,"Rain, Overcast"
"Bhubaneswar, OD, India",05/29/2020,34,21,27.9,,47.3,97.89,0,0,33.5,154.92,,4.7,58.9,84.63,"Rain, Partially cloudy"
"Bhubaneswar, OD, India",05/30/2020,34,23.1,29.5,,45.3,15.97,0,0,16.6,198.35,,5.4,46.7,78.04,"Rain, Partially cloudy"
"Bhubaneswar, OD, India",05/31/2020,36,28,31.4,,49.9,0,0,0,25.9,168.29,,4.9,42.3,78.49,Partially cloudy
